chrom	start	end	pas	score	strand	polyAsite_exon_idx	nr_polyAsites_on_exon	exon	gene	M323K_WT_1	M323K_HOM_1	M323K_WT_2	M323K_HOM_2	M323K_WT_3	M323K_HOM_3	M323K_WT_4	M323K_HOM_4	M323K_WT_1	M323K_HOM_5
chr5	115297106	115297145	chr5:-:115297127:TE	9	-	2	2	ENSMUST00000009157:3:3:115297109:115298833	ENSMUST00000009157	5.931256	4.003717	6.750061	4.689694	5.271231	3.766829	6.020662	4.639749	5.931256	4.711257
chr12	78842967	78843012	chr12:-:78842989:TE	9	-	1	2	ENSMUST00000021536:9:9:78840724:78843610	ENSMUST00000021536	364.861997	343.437783	333.429897	364.303285	326.55951	321.952758	369.822121	359.019837	364.861997	371.882198
chr12	78840692	78840733	chr12:-:78840705:TE	3	-	2	2	ENSMUST00000021536:9:9:78840724:78843610	ENSMUST00000021536	0.993911	0.802261	1.412999	0.932769	1.046846	0.921964	1.481657	1.089718	0.993911	1.152221
chr1	55153720	55153738	chr1:+:55153721:TE	2	+	1	2	ENSMUST00000162930:7:7:55152674:55154898	ENSMUST00000162930	150.26233	124.200588	135.845231	128.586374	147.061252	121.693735	150.778306	140.090004	150.26233	139.693239
chr1	55154871	55154913	chr1:+:55154898:TE	9	+	2	2	ENSMUST00000162930:7:7:55152674:55154898	ENSMUST00000162930	63.649421	54.730116	53.769534	55.141067	58.549404	54.55933	59.888936	56.122588	63.649421	56.877049
chr2	131298488	131298493	chr2:-:131298493:TE	2	-	1	2	ENSMUST00000059372:6:6:131298063:131303580	ENSMUST00000059372	44.769712	40.769261	43.647592	40.761779	37.346955	40.678446	45.600984	44.699556	44.769712	43.912924
chr2	131298060	131298071	chr2:-:131298065:TE	5	-	2	2	ENSMUST00000059372:6:6:131298063:131303580	ENSMUST00000059372	0.982407	0.948299	0.739042	1.516557	2.896783	2.231447	1.38	1.564886	0.982407	1.23499
chr2	23114408	23114448	chr2:+:23114429:TE	6	+	1	2	ENSMUST00000228050:14:14:23112504:23115558	ENSMUST00000228050	526.98454	422.083994	478.92677	449.402816	503.215394	366.724945	511.555458	441.699021	526.98454	503.810466
chr2	23115530	23115569	chr2:+:23115562:TE	8	+	2	2	ENSMUST00000228050:14:14:23112504:23115558	ENSMUST00000228050	14.071204	10.913022	11.707103	13.319421	14.259746	10.600749	11.939666	13.575014	14.071204	12.105949
chr16	64766078	64766131	chr16:-:64766105:TE	9	-	1	2	ENSMUST00000076991:3:3:64762135:64766993	ENSMUST00000076991	18.010037	13.905853	13.002527	13.114772	13.032259	14.942428	16.725189	14.977287	18.010037	15.355692
chr16	64762114	64762192	chr16:-:64762140:TE	9	-	2	2	ENSMUST00000076991:3:3:64762135:64766993	ENSMUST00000076991	4.583034	3.815954	3.858977	3.978808	3.67158	3.660307	3.992596	4.582729	4.583034	4.443349
chr19	60838742	60838769	chr19:-:60838746:TE	8	-	1	2	ENSMUST00000080806:15:15:60837276:60839050	ENSMUST00000080806	10.843294	12.100292	10.760205	11.298781	10.007069	7.878935	9.108506	9.471677	10.843294	12.794232
chr19	60837268	60837295	chr19:-:60837271:TE	2	-	2	2	ENSMUST00000080806:15:15:60837276:60839050	ENSMUST00000080806	1.895793	1.985738	1.702737	2.535494	1.373306	2.539992	2.221215	1.909118	1.895793	1.744668
chr16	4711368	4711391	chr16:-:4711375:TE	9	-	1	2	ENSMUST00000120056:5:5:4710058:4711603	ENSMUST00000120056	88.669753	74.942156	78.141137	69.188607	88.535788	71.97747	98.373899	91.542646	88.669753	84.822231
chr16	4710071	4710072	chr16:-:4710072:TE	1	-	2	2	ENSMUST00000120056:5:5:4710058:4711603	ENSMUST00000120056	1.642714	1.27072	1.291225	0.881068	1.299308	0.775037	2.028066	1.322022	1.642714	0.849464
chr11	33629777	33629807	chr11:-:33629782:TE	4	-	1	2	ENSMUST00000101368:8:8:33629338:33630598	ENSMUST00000101368	150.575228	170.754472	179.914833	157.375107	129.051575	165.69823	164.702834	167.97707	150.575228	179.515668
chr11	33629333	33629353	chr11:-:33629334:TE	2	-	2	2	ENSMUST00000101368:8:8:33629338:33630598	ENSMUST00000101368	5.650569	3.588363	3.029654	6.927908	4.470317	4.17455	7.94707	4.863606	5.650569	4.7766
chr14	50927196	50927247	chr14:-:50927203:TE	9	-	1	2	ENSMUST00000160835:7:7:50926067:50928037	ENSMUST00000160835	370.369921	333.852379	340.585171	335.266819	318.41326	314.198711	378.826429	351.167954	370.369921	356.57878
chr14	50926067	50926086	chr14:-:50926068:TE	5	-	2	2	ENSMUST00000160835:7:7:50926067:50928037	ENSMUST00000160835	3.115175	3.451808	2.794504	2.345924	2.818433	2.791604	3.00906	3.195239	3.115175	3.097276
chr11	74818573	74818622	chr11:+:74818596:TE	9	+	1	2	ENSMUST00000141755:10:10:74817158:74828525	ENSMUST00000141755	8.508063	8.60676	7.986697	8.478933	8.14625	9.845914	9.449059	10.170701	8.508063	8.041591
chr11	74828507	74828546	chr11:+:74828523:TE	8	+	2	2	ENSMUST00000141755:10:10:74817158:74828525	ENSMUST00000141755	3.149686	2.492129	2.991862	2.481639	3.144892	2.242466	3.375027	2.62715	3.149686	2.476514
chr16	84861569	84861616	chr16:+:84861593:TE	9	+	1	2	ENSMUST00000009120:10:10:84860374:84863779	ENSMUST00000009120	12.578037	11.002162	10.779101	9.859775	10.858039	12.253673	11.586406	9.349189	12.578037	9.823287
chr16	84863750	84863785	chr16:+:84863776:TE	9	+	2	2	ENSMUST00000009120:10:10:84860374:84863779	ENSMUST00000009120	10.051846	8.802109	8.81392	8.532788	8.283363	9.395952	9.375357	9.306952	10.051846	9.459542
chrX	162778779	162778817	chrX:+:162778812:TE	9	+	1	2	ENSMUST00000033720:12:12:162778347:162779092	ENSMUST00000033720	174.424493	151.913671	150.15158	141.358628	149.694691	142.551792	149.40339	147.561753	174.424493	153.785626
chrX	162779090	162779091	chrX:+:162779091:TE	1	+	2	2	ENSMUST00000033720:12:12:162778347:162779092	ENSMUST00000033720	6.016383	5.606342	5.559614	3.935724	4.174327	5.458321	3.377568	7.573118	6.016383	6.272964
chr4	133077538	133077569	chr4:+:133077564:TE	2	+	1	2	ENSMUST00000105916:7:7:133076986:133078110	ENSMUST00000105916	31.011406	30.796951	20.388752	31.440554	28.882951	37.591153	30.924191	37.871923	31.011406	25.013443
chr4	133077862	133077874	chr4:+:133077863:TE	3	+	2	2	ENSMUST00000105916:7:7:133076986:133078110	ENSMUST00000105916	0.117337	1.134165	0.650861	0.633335	0.822678	0.541792	0.950497	1.368483	0.117337	1.082522
chr7	109973454	109973512	chr7:-:109973490:TE	7	-	1	2	ENSMUST00000094097:7:7:109972186:109974951	ENSMUST00000094097	109.17377	96.203015	100.933876	96.290602	99.106543	93.07061	107.13677	103.333141	109.17377	107.254611
chr7	109972185	109972193	chr7:-:109972186:TE	5	-	2	2	ENSMUST00000094097:7:7:109972186:109974951	ENSMUST00000094097	13.914755	11.958048	11.965348	10.928258	12.766739	10.367503	12.097235	12.833752	13.914755	12.493653
chr7	141408522	141408525	chr7:-:141408525:TE	4	-	1	3	ENSMUST00000106008:8:8:141407793:141408964	ENSMUST00000106008	29.693094	33.924441	40.951767	39.266764	40.361263	55.483131	22.984746	40.431494	29.693094	23.504011
chr7	141408178	141408195	chr7:-:141408184:TE	6	-	2	3	ENSMUST00000106008:8:8:141407793:141408964	ENSMUST00000106008	87.581512	70.705157	73.666991	72.290656	62.486505	65.58433	95.725723	85.437268	87.581512	90.875205
chr7	141407787	141407802	chr7:-:141407799:TE	4	-	3	3	ENSMUST00000106008:8:8:141407793:141408964	ENSMUST00000106008	2.100557	6.77844	4.807975	3.259305	3.680286	2.09003	2.765082	3.279713	2.100557	4.105742
chr14	20316755	20316777	chr14:+:20316760:TE	9	+	1	2	ENSMUST00000022343:9:9:20316023:20317578	ENSMUST00000022343	14.317381	16.667299	12.418852	14.646408	15.704873	19.388792	19.924857	24.941026	14.317381	15.155306
chr14	20317553	20317589	chr14:+:20317577:TE	7	+	2	2	ENSMUST00000022343:9:9:20316023:20317578	ENSMUST00000022343	7.590076	7.645185	7.766244	7.322127	6.923116	7.550187	8.587512	7.482308	7.590076	8.398801
chr18	61131103	61131160	chr18:+:61131133:TE	8	+	1	2	ENSMUST00000115268:21:21:61130303:61132149	ENSMUST00000115268	57.966643	62.365818	63.488361	67.652662	86.133047	77.048272	77.414678	80.459623	57.966643	63.729391
chr18	61132143	61132152	chr18:+:61132149:TE	3	+	2	2	ENSMUST00000115268:21:21:61130303:61132149	ENSMUST00000115268	0.400325	0.174487	0.14277	0.230499	0.496218	0.416904	0.190608	0.200626	0.400325	0.0
chr5	91949292	91949304	chr5:-:91949293:TE	1	-	1	2	ENSMUST00000031345:9:9:91948903:91949864	ENSMUST00000031345	67.4134	80.138833	83.511791	71.980451	67.535743	66.926871	69.919983	67.131696	67.4134	80.76223
chr5	91948897	91948924	chr5:-:91948905:TE	9	-	2	2	ENSMUST00000031345:9:9:91948903:91949864	ENSMUST00000031345	27.304946	19.680993	17.955371	23.523868	18.619068	20.909482	28.771595	25.724525	27.304946	24.91325
chr19	21280883	21280884	chr19:+:21280884:TE	1	+	1	3	ENSMUST00000025659:6:6:21280422:21282290	ENSMUST00000025659	140.373835	69.741686	113.361126	89.62766	116.130313	66.570574	131.148256	103.016362	140.373835	108.064868
chr19	21281302	21281327	chr19:+:21281323:TE	3	+	2	3	ENSMUST00000025659:6:6:21280422:21282290	ENSMUST00000025659	156.74576	124.005238	132.683306	110.878847	106.593345	130.283427	139.273226	116.519573	156.74576	140.368453
chr19	21282006	21282050	chr19:+:21282026:TE	9	+	3	3	ENSMUST00000025659:6:6:21280422:21282290	ENSMUST00000025659	209.031924	176.264088	177.380674	165.293948	161.488581	160.078291	171.262279	164.76916	209.031924	176.407501
chr5	129023076	129023105	chr5:+:129023080:TE	2	+	1	2	ENSMUST00000031383:7:7:129022773:129024323	ENSMUST00000031383	143.709879	130.975234	146.082648	124.874686	123.299361	123.107903	142.035767	137.357262	143.709879	122.882567
chr5	129024276	129024343	chr5:+:129024323:TE	9	+	2	2	ENSMUST00000031383:7:7:129022773:129024323	ENSMUST00000031383	137.723406	132.149228	132.401966	131.78967	120.578866	125.427505	130.268919	131.49686	137.723406	140.923872
chr8	105369323	105369355	chr8:+:105369345:TE	9	+	1	2	ENSMUST00000212772:11:11:105368005:105369881	ENSMUST00000212772	6.349987	8.400031	6.107598	8.388456	11.01474	10.158133	11.751599	9.429439	6.349987	6.399294
chr8	105369871	105369896	chr8:+:105369896:TE	4	+	2	2	ENSMUST00000212772:11:11:105368005:105369881	ENSMUST00000212772	1.306809	1.699351	1.883298	1.167577	0.7008	1.494977	0.58453	2.211114	1.306809	1.417951
chr9	15005774	15005811	chr9:-:15005787:TE	9	-	1	2	ENSMUST00000164273:5:5:15002127:15006217	ENSMUST00000164273	18.764673	24.255586	21.881534	23.056406	18.536364	21.664317	21.950381	19.705733	18.764673	21.267089
chr9	15004427	15004434	chr9:-:15004428:TE	1	-	2	2	ENSMUST00000164273:5:5:15002127:15006217	ENSMUST00000164273	0.802951	1.149338	0.484997	1.046941	1.009848	0.988081	0.932707	1.345253	0.802951	1.237168
chr11	115798996	115799038	chr11:+:115799032:TE	8	+	1	2	ENSMUST00000093912:32:32:115798274:115799366	ENSMUST00000093912	35.097485	54.6277	32.3583	48.695699	54.002913	80.954681	61.32993	67.832832	35.097485	42.586454
chr11	115799358	115799384	chr11:+:115799384:TE	6	+	2	2	ENSMUST00000093912:32:32:115798274:115799366	ENSMUST00000093912	3.108273	2.02367	1.203043	1.949551	1.460362	3.16994	1.616353	5.057896	3.108273	3.021042
chr11	4893636	4893669	chr11:+:4893669:TE	9	+	1	2	ENSMUST00000038570:10:10:4893119:4894200	ENSMUST00000038570	59.041079	56.311878	74.506812	61.403327	55.162932	53.12496	65.513133	63.501415	59.041079	62.130656
chr11	4894177	4894225	chr11:+:4894200:TE	9	+	2	2	ENSMUST00000038570:10:10:4893119:4894200	ENSMUST00000038570	34.018447	30.339871	30.4813	29.275583	28.336676	28.114391	31.191042	30.096068	34.018447	33.166117
chr15	37968245	37968290	chr15:-:37968246:TE	2	-	1	2	ENSMUST00000228029:12:12:37967858:37968505	ENSMUST00000228029	168.900464	171.790014	190.15225	113.498354	119.47761	151.580428	162.989906	157.647979	168.900464	131.035242
chr15	37967853	37967885	chr15:-:37967865:TE	9	-	2	2	ENSMUST00000228029:12:12:37967858:37968505	ENSMUST00000228029	134.939534	129.048291	115.013474	137.360432	117.296861	112.808353	132.586709	127.737755	134.939534	151.572664
chr3	145944250	145944300	chr3:+:145944275:TE	9	+	1	2	ENSMUST00000134575:4:4:145943796:145944827	ENSMUST00000134575	49.051352	43.092593	40.968564	39.490801	47.750128	39.2955	47.163967	38.414671	49.051352	47.151777
chr3	145944807	145944837	chr3:+:145944827:TE	9	+	2	2	ENSMUST00000134575:4:4:145943796:145944827	ENSMUST00000134575	24.463557	21.431552	24.568961	22.56094	21.161098	22.847075	27.666071	24.130073	24.463557	20.276048
chrX	151934858	151934900	chrX:+:151934886:TE	9	+	1	2	ENSMUST00000026292:83:83:151934280:151935417	ENSMUST00000026292	182.297557	170.671021	166.42731	165.10007	162.541957	152.054266	172.85576	184.793783	182.297557	180.042771
chrX	151935400	151935428	chrX:+:151935415:TE	6	+	2	2	ENSMUST00000026292:83:83:151934280:151935417	ENSMUST00000026292	18.776177	22.905209	17.823099	18.905262	15.506821	18.959032	18.206846	18.932794	18.776177	22.375749
chr2	156069471	156069506	chr2:+:156069499:TE	8	+	1	2	ENSMUST00000125996:7:7:156069319:156070617	ENSMUST00000125996	1.72554	3.332322	1.303822	2.143429	1.003319	0.369153	2.330497	2.483543	1.72554	1.433198
chr2	156070452	156070453	chr2:+:156070453:TE	1	+	2	2	ENSMUST00000125996:7:7:156069319:156070617	ENSMUST00000125996	1.143458	1.200546	1.148455	1.186964	1.862995	1.577624	1.275801	1.493083	1.143458	1.206674
chr7	99838883	99838932	chr7:-:99838894:TE	9	-	1	2	ENSMUST00000036274:5:5:99837568:99839883	ENSMUST00000036274	271.176675	238.937154	258.33521	240.296742	240.110885	243.38747	267.417505	258.026633	271.176675	266.171869
chr7	99837552	99837578	chr7:-:99837569:TE	7	-	2	2	ENSMUST00000036274:5:5:99837568:99839883	ENSMUST00000036274	4.392075	5.016501	4.610617	4.551825	3.876161	5.348126	3.901104	5.974442	4.392075	5.634777
chr9	95695538	95695564	chr9:+:95695562:TE	7	+	1	2	ENSMUST00000015498:9:9:95694965:95698096	ENSMUST00000015498	5.800115	5.532375	6.059308	5.034366	8.046136	7.272863	6.95591	9.39565	5.800115	6.198908
chr9	95698088	95698104	chr9:+:95698096:TE	4	+	2	2	ENSMUST00000015498:9:9:95694965:95698096	ENSMUST00000015498	0.67181	0.55191	0.60887	0.710886	0.772621	0.593216	0.51337	0.525852	0.67181	0.524925
chr14	70603612	70603637	chr14:-:70603621:TE	6	-	1	2	ENSMUST00000022695:15:15:70602184:70604854	ENSMUST00000022695	462.440138	545.169383	427.29668	601.34503	661.702725	686.258925	689.120498	741.382024	462.440138	493.712737
chr14	70602170	70602190	chr14:-:70602182:TE	2	-	2	2	ENSMUST00000022695:15:15:70602184:70604854	ENSMUST00000022695	4.886729	7.222244	5.358057	6.257952	4.953477	8.029535	5.626739	7.220438	4.886729	7.671312
chr8	105716099	105716132	chr8:-:105716111:TE	9	-	1	2	ENSMUST00000013294:3:3:105713853:105717650	ENSMUST00000013294	6.168231	8.682624	6.733264	10.297078	9.726314	11.043365	9.815025	11.881305	6.168231	7.645175
chr8	105713860	105713874	chr8:-:105713861:TE	1	-	2	2	ENSMUST00000013294:3:3:105713853:105717650	ENSMUST00000013294	1.709435	1.773319	1.320618	1.673814	1.353718	1.757609	1.758674	1.79719	1.709435	1.67279
chr17	32304683	32304701	chr17:-:32304696:TE	7	-	1	2	ENSMUST00000002699:14:14:32303671:32305706	ENSMUST00000002699	137.235653	175.700798	118.771672	149.40672	114.33261	158.746769	141.13864	147.998907	137.235653	134.55725
chr17	32303657	32303693	chr17:-:32303676:TE	9	-	2	2	ENSMUST00000002699:14:14:32303671:32305706	ENSMUST00000002699	152.905858	146.356641	137.543769	135.800791	132.588219	131.710451	146.391788	150.444437	152.905858	154.881216
chr4	43028014	43028047	chr4:-:43028022:TE	9	-	1	2	ENSMUST00000030169:10:10:43027689:43028293	ENSMUST00000030169	71.793971	71.680008	68.413911	80.50893	87.911162	89.717012	91.077437	89.844713	71.793971	81.38517
chr4	43027683	43027711	chr4:-:43027691:TE	9	-	2	2	ENSMUST00000030169:10:10:43027689:43028293	ENSMUST00000030169	3.948036	4.337519	3.7519	4.672461	3.271123	2.45551	3.090386	3.837243	3.948036	3.663585
chr16	35696944	35696985	chr16:-:35696954:TE	9	-	1	2	ENSMUST00000023554:9:9:35694061:35698020	ENSMUST00000023554	43.610149	35.722415	34.239498	35.664941	41.338465	37.422187	41.016233	41.911905	43.610149	37.454821
chr16	35694045	35694082	chr16:-:35694059:TE	6	-	2	2	ENSMUST00000023554:9:9:35694061:35698020	ENSMUST00000023554	3.648942	2.822137	3.338288	3.28731	3.144892	2.604273	3.613922	3.598604	3.648942	3.339046
chr19	5133674	5133710	chr19:-:5133688:TE	9	-	1	2	ENSMUST00000025786:24:24:5133157:5135025	ENSMUST00000025786	12.980663	13.678262	9.918285	13.082459	13.582887	18.751498	16.539665	17.762825	12.980663	13.83537
chr19	5133156	5133185	chr19:-:5133159:TE	7	-	2	2	ENSMUST00000025786:24:24:5133157:5135025	ENSMUST00000025786	1.550685	2.634374	1.664945	2.130504	1.575711	2.391229	1.644309	2.625038	1.550685	2.530967
chr6	66540970	66541049	chr6:+:66541007:TE	9	+	1	2	ENSMUST00000116605:6:6:66540425:66547220	ENSMUST00000116605	15.578176	18.730798	16.838409	14.879062	15.56776	14.690816	18.196681	20.062637	15.578176	17.32035
chr6	66547202	66547225	chr6:+:66547219:TE	8	+	2	2	ENSMUST00000116605:6:6:66540425:66547220	ENSMUST00000116605	0.602789	0.375526	0.60887	0.445919	0.589803	0.426087	0.833591	0.597655	0.602789	0.633831
chr4	105232393	105232399	chr4:+:105232394:TE	1	+	1	2	ENSMUST00000064139:6:6:105230896:105232764	ENSMUST00000064139	63.651722	71.099649	62.913084	64.804809	47.134208	67.332755	70.69258	67.357665	63.651722	67.164274
chr4	105232726	105232791	chr4:+:105232758:TE	9	+	2	2	ENSMUST00000064139:6:6:105230896:105232764	ENSMUST00000064139	32.776059	20.834124	31.268632	23.997792	32.822228	22.593627	27.503419	23.64857	32.776059	32.327544
chrX	102514857	102514872	chrX:-:102514872:TE	3	-	1	2	ENSMUST00000052012:33:33:102513974:102516215	ENSMUST00000052012	58.891532	35.483444	33.876276	24.891785	37.527596	52.27095	47.166508	35.633356	58.891532	32.179433
chrX	102513935	102513987	chrX:-:102513958:TE	7	-	2	2	ENSMUST00000052012:33:33:102513974:102516215	ENSMUST00000052012	116.467053	95.207301	69.417497	87.102937	72.373872	110.887289	75.175673	96.820175	116.467053	94.972235
chr3	57834795	57834840	chr3:+:57834830:TE	9	+	1	2	ENSMUST00000200497:10:10:57833572:57835233	ENSMUST00000200497	520.597741	412.697733	520.409724	443.739423	487.786923	412.942521	558.450032	481.872868	520.597741	492.005097
chr3	57835175	57835240	chr3:+:57835228:TE	9	+	2	2	ENSMUST00000200497:10:10:57833572:57835233	ENSMUST00000200497	50.818306	47.058379	41.155424	50.612937	36.09988	42.263416	46.292254	49.839815	50.818306	58.991996
chr5	121208944	121208986	chr5:+:121208967:TE	9	+	1	2	ENSMUST00000031617:7:7:121208781:121209241	ENSMUST00000031617	264.325131	258.572629	263.506408	270.332757	261.300277	291.212055	287.881147	294.838404	264.325131	262.710849
chr5	121209217	121209241	chr5:+:121209240:TE	7	+	2	2	ENSMUST00000031617:7:7:121208781:121209241	ENSMUST00000031617	0.469347	0.144141	0.0	0.168028	0.052234	0.176312	0.119447	0.0	0.469347	0.396416
chr14	20500024	20500086	chr14:-:20500030:TE	6	-	1	2	ENSMUST00000159027:14:14:20499363:20501662	ENSMUST00000159027	258.566428	214.389492	218.529799	208.701085	181.100085	216.700102	226.622377	211.413735	258.566428	243.16229
chr14	20499351	20499388	chr14:-:20499365:TE	9	-	2	2	ENSMUST00000159027:14:14:20499363:20501662	ENSMUST00000159027	12.58954	9.551265	9.890991	10.833474	10.470641	9.333508	10.221655	10.45369	12.58954	11.999221
chr4	40737166	40737189	chr4:-:40737167:TE	9	-	1	2	ENSMUST00000030117:12:12:40736541:40737395	ENSMUST00000030117	31.232275	32.885105	31.766226	32.636135	31.794969	27.063867	28.990159	29.458287	31.232275	28.426545
chr4	40736536	40736561	chr4:-:40736541:TE	9	-	2	2	ENSMUST00000030117:12:12:40736541:40737395	ENSMUST00000030117	15.315894	12.838069	14.363037	11.244926	13.846231	10.453823	13.749168	13.655264	15.315894	12.482762
chr18	37641997	37642057	chr18:-:37642022:TE	8	-	1	3	ENSMUST00000066272:2:2:37640490:37643532	ENSMUST00000066272	9.186775	7.315177	8.700545	7.597865	7.737088	6.573126	8.93823	8.316491	9.186775	7.804177
chr18	37640786	37640825	chr18:-:37640807:TE	9	-	2	3	ENSMUST00000066272:2:2:37640490:37643532	ENSMUST00000066272	0.848966	0.855366	1.287026	0.68719	1.334131	0.668516	1.41558	0.884868	0.848966	0.61205
chr18	37640481	37640495	chr18:-:37640483:TE	6	-	3	3	ENSMUST00000066272:2:2:37640490:37643532	ENSMUST00000066272	0.878875	0.159314	0.342227	0.32313	0.420044	0.08081	0.249061	0.0	0.878875	0.204743
chr8	102633479	102633495	chr8:-:102633485:TE	5	-	1	2	ENSMUST00000075190:13:13:102632094:102634810	ENSMUST00000075190	20.920448	17.746463	22.408521	16.460245	17.750686	16.259257	21.030382	19.716293	20.920448	20.062593
chr8	102632091	102632127	chr8:-:102632101:TE	6	-	2	2	ENSMUST00000075190:13:13:102632094:102634810	ENSMUST00000075190	5.84843	4.777529	5.022129	6.723259	4.568255	4.967953	4.719446	5.188832	5.84843	6.052974
chr18	62997795	62997796	chr18:+:62997796:TE	1	+	1	2	ENSMUST00000025474:12:12:62996816:62999450	ENSMUST00000025474	53.160439	58.282443	43.746271	67.898241	70.826454	77.60843	77.389263	73.260304	53.160439	67.312386
chr18	62999417	62999463	chr18:+:62999448:TE	9	+	2	2	ENSMUST00000025474:12:12:62996816:62999450	ENSMUST00000025474	91.685997	74.500249	84.527975	74.029095	81.569145	66.849734	86.762079	77.912724	91.685997	79.540309
chr11	42131473	42131499	chr11:-:42131486:TE	2	-	1	2	ENSMUST00000205546:10:10:42130938:42133790	ENSMUST00000205546	34.214009	28.536207	28.247376	32.110511	36.202171	29.949136	37.026179	33.924864	34.214009	40.647934
chr11	42130917	42130953	chr11:-:42130918:TE	4	-	2	2	ENSMUST00000205546:10:10:42130938:42133790	ENSMUST00000205546	22.648289	23.485568	19.945747	24.359698	19.733382	19.612855	20.331487	25.359173	22.648289	26.533765
chr11	80266732	80266778	chr11:+:80266766:TE	9	+	1	2	ENSMUST00000092857:19:19:80265741:80267486	ENSMUST00000092857	323.582477	308.407626	284.674094	317.027204	321.127225	287.270751	326.607546	321.817372	323.582477	311.740159
chr11	80267466	80267506	chr11:+:80267494:TE	7	+	2	2	ENSMUST00000092857:19:19:80265741:80267486	ENSMUST00000092857	23.405226	21.236203	20.936735	17.177594	19.24587	12.047975	20.097675	18.119729	23.405226	16.780178
chr15	74959298	74959370	chr15:+:74959331:TE	9	+	1	2	ENSMUST00000169343:5:5:74958492:74959905	ENSMUST00000169343	615.184945	642.631738	609.157798	679.678218	808.008768	711.543144	779.008543	778.74499	615.184945	675.678781
chr15	74959874	74959915	chr15:+:74959903:TE	8	+	2	2	ENSMUST00000169343:5:5:74958492:74959905	ENSMUST00000169343	8.268788	17.56439	10.027462	12.847651	8.237659	10.905622	11.390716	10.86339	8.268788	10.30465
chr11	116874685	116874721	chr11:+:116874710:TE	9	+	1	2	ENSMUST00000021173:13:13:116873780:116875635	ENSMUST00000021173	87.09606	98.338584	82.81474	103.421005	75.076955	100.380205	86.202963	107.628657	87.09606	94.440775
chr11	116875425	116875455	chr11:+:116875455:TE	5	+	2	2	ENSMUST00000021173:13:13:116873780:116875635	ENSMUST00000021173	8.468951	7.064826	7.392524	6.316115	3.756459	4.863268	7.583645	6.105377	8.468951	7.544981
chr17	15432016	15432061	chr17:+:15432038:TE	8	+	1	2	ENSMUST00000055352:11:11:15431766:15433438	ENSMUST00000055352	38.129834	41.709974	35.350162	32.599514	28.112507	44.862179	40.055571	51.748933	38.129834	35.70144
chr17	15433427	15433450	chr17:+:15433442:TE	6	+	2	2	ENSMUST00000055352:11:11:15431766:15433438	ENSMUST00000055352	52.389697	48.844974	47.634642	49.632776	43.66068	45.978821	52.518772	48.479779	52.389697	51.181285
chrX	13520944	13520977	chrX:-:13520945:TE	7	-	1	2	ENSMUST00000115436:25:25:13517079:13522347	ENSMUST00000115436	36.043081	20.803779	35.014233	24.060264	36.169525	20.859894	34.543196	25.637938	36.043081	37.923115
chrX	13517076	13517096	chrX:-:13517077:TE	8	-	2	2	ENSMUST00000115436:25:25:13517079:13522347	ENSMUST00000115436	31.331206	37.175209	32.406589	34.353033	28.604372	35.435006	34.42629	37.880371	31.331206	39.824607
chr16	32988550	32988551	chr16:+:32988551:TE	1	+	1	2	ENSMUST00000156928:13:13:32988430:32989046	ENSMUST00000156928	13.277456	15.737967	13.794058	14.885524	12.555628	15.592578	13.617013	22.411022	13.277456	16.616819
chr16	32989038	32989056	chr16:+:32989047:TE	2	+	2	2	ENSMUST00000156928:13:13:32988430:32989046	ENSMUST00000156928	0.365814	0.959678	0.638264	0.585942	0.5071	0.947676	0.818342	0.606103	0.365814	0.387704
chr18	5772741	5772776	chr18:+:5772767:TE	3	+	1	3	ENSMUST00000025081:8:8:5772428:5775467	ENSMUST00000025081	26.361651	31.358344	30.15167	28.831818	28.663135	33.266003	37.613251	34.412702	26.361651	33.037609
chr18	5774898	5774916	chr18:+:5774916:TE	9	+	2	3	ENSMUST00000025081:8:8:5772428:5775467	ENSMUST00000025081	33.698647	30.614878	30.447707	29.880913	31.794969	28.916978	33.277561	30.653598	33.698647	31.580452
chr18	5775442	5775480	chr18:+:5775467:TE	9	+	3	3	ENSMUST00000025081:8:8:5772428:5775467	ENSMUST00000025081	3.244015	1.589349	3.134632	2.044336	2.015343	2.044115	3.174253	2.154094	3.244015	1.668434
chr9	20663386	20663411	chr9:+:20663392:TE	4	+	1	3	ENSMUST00000034689:4:4:20663174:20666584	ENSMUST00000034689	8.126143	17.719911	5.704484	12.692549	18.392722	26.966528	20.93889	18.816642	8.126143	9.943083
chr9	20663663	20663717	chr9:+:20663690:TE	9	+	2	3	ENSMUST00000034689:4:4:20663174:20666584	ENSMUST00000034689	40.846985	45.973525	33.758701	57.232795	57.382856	54.563003	64.585509	63.533092	40.846985	43.215928
chr9	20666013	20666014	chr9:+:20666014:TE	1	+	3	3	ENSMUST00000034689:4:4:20663174:20666584	ENSMUST00000034689	3.00244	3.379737	2.930975	3.145133	2.583382	3.023013	3.598673	3.545807	3.00244	3.095098
chr5	31292845	31292887	chr5:-:31292885:TE	4	-	1	2	ENSMUST00000172435:7:7:31292241:31293486	ENSMUST00000172435	41.15298	50.362252	40.397485	49.161006	61.463599	57.336242	57.123854	62.817173	41.15298	41.092268
chr5	31292237	31292283	chr5:-:31292246:TE	6	-	2	2	ENSMUST00000172435:7:7:31292241:31293486	ENSMUST00000172435	46.375615	36.319843	41.449361	36.558934	40.746485	32.942765	46.068608	38.35765	46.375615	41.416807
